Calendar Year Employed,Employment Type,Job Title,Division Name,Regular Pay,Overtime Pay,Lump-Sum Pay,Assignment and  Incentive Pay,Skill Pay,Outside Employer Pay,Other Pay,Retirement Contribution,City Paid Deferred Compensation,Health Benefits Average,Cash-in-Lieu of Medical Benefits,Total
2012,Permanent,Sr Sustainability Analyst,Office of Sustain/ Environment,$103892.77,$0.00,$6706.11,$0.00,$600.00,$0.00,$299.50,$27423.82,,$12348.35,,$151270.55
2012,Permanent,Deputy City Manager-Spec Proj,Community & Govt Relations-Adm,$176040.38,$0.00,$12581.72,$0.00,$0.00,$0.00,$6763.68,$47968.16,,$12348.35,,$255702.28
2012,Permanent,Police Officer,Criminal Investigations,$90940.58,$23036.08,$0.00,$24903.87,$0.00,$150.00,$6212.54,$56109.16,,$12348.35,,$213700.58
2012,Permanent,Water Chemist,Water Resources-Water,$100138.19,$0.00,$7033.98,$0.00,$0.00,$0.00,$197.64,$26332.81,,$12348.35,,$146050.96
2012,Permanent,Asst Director-Cmty & Cult Svcs,CCS -Admin & Planning Services,$170953.14,$0.00,$0.00,$0.00,$0.00,$0.00,$8424.00,$47063.32,,$12348.35,,$238788.81
2012,Permanent,Pier & Harbor Services Officer,Harbor Unit,$79871.11,$15326.38,$0.00,$30.00,$2700.00,$250.00,$1952.85,$21836.19,$600.08,$12348.35,,$134914.96
2012,Permanent,Hearing Investigator,Rent Control - Hearings,$82392.53,$29.74,$1070.76,$0.00,$0.00,$0.00,$2400.06,$21624.73,$2700.10,$12348.35,,$122566.26
2012,Permanent,Communications Engineer,Systems & Networks,$113922.43,$0.00,$8002.25,$0.00,$0.00,$0.00,$0.00,$29898.54,,$12348.35,,$164171.57
2012,Permanent,Asst City Attorney,City Attorney,$253997.59,$0.00,$18314.68,$25465.20,$0.00,$0.00,$0.00,$73339.39,,$12348.35,,$383465.21
2012,Permanent,Transportation Management Spec,Transp Engineering & Mgmt,$80955.70,$2145.28,$0.00,$0.00,$0.00,$0.00,$1223.21,$21246.60,$600.08,$12348.35,,$118519.21
2012,Permanent,Resource Rec and Recyc Manager,Resource Recovery & Recycling,$150469.88,$0.00,$10849.57,$0.00,$0.00,$0.00,$5103.42,$40822.22,,$12348.35,,$219593.43
2012,Permanent,Systems Analyst,Software Systems,$110323.83,$0.00,$7749.51,$0.00,$0.00,$0.00,$50.00,$28954.10,,$12348.35,,$159425.79
2012,Permanent,Dir of Finance(Contr/Ci Treas),Finance - Administration,$177450.32,$0.00,$6651.23,$0.00,$0.00,$0.00,$8646.60,$48828.91,$0.00,$1123.02,$1800.00,$244500.08
2012,Permanent,Admin Services Officer,Beach (415 PCH),$59305.40,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$15562.66,,,,$74868.06
2012,Permanent,Supervising Civil Engineer,Civil Engineering,$134723.57,$0.00,$9446.10,$0.00,$0.00,$0.00,$0.00,$35357.94,,$12348.35,,$191875.96
2012,Permanent,Fire Engineer - Suppression,Fire Suppression & Rescue,$95544.39,$17978.46,$0.00,$21383.94,$5832.06,$997.68,$1211.50,$45777.42,$0.00,$1123.02,$1650.00,$191498.46
2012,Permanent,Revenue Operations Asst I,Parking Operations,$52044.93,$0.00,$2369.35,$0.00,$0.00,$0.00,$1013.83,$13659.05,$600.08,$12348.35,,$82035.59
2012,Permanent,Information Analyst,Rent Control - Public Info,$82392.53,$252.82,$0.00,$0.00,$0.00,$0.00,$2400.06,$21624.73,$2700.10,$12348.35,,$121718.58
2012,Permanent,Library Assistant III,Reference Services,$65601.23,$0.00,$497.72,$0.00,$0.00,$0.00,$663.23,$17216.86,$600.08,$12348.35,,$96927.47
2012,Permanent,Associate Planner,City Planning/Developmt Review,$98898.47,$0.00,$6946.89,$0.00,$600.00,$0.00,$50.00,$26113.08,,$12348.35,,$144956.79
2012,Permanent,Police Personnel Services Tech,Police Administrative Services,$65601.24,$9020.40,$3235.20,$20.25,$0.00,$0.00,$782.89,$17222.18,$600.08,$12348.35,,$108830.58
2012,Permanent,Pr Planner,Strategic & Transp Planning,$134719.39,$0.00,$3069.14,$0.00,$0.00,$0.00,$0.00,$35356.63,,$12348.35,,$185493.51
2012,Permanent,Housing Specialist,Housing Services,$79541.61,$1484.62,$0.00,$0.00,$0.00,$0.00,$808.90,$20875.48,,$12348.35,,$115058.95
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$55464.18,$18199.24,$418.88,$0.00,$0.00,$0.00,$1332.31,$14853.52,,$12348.35,,$102616.47
2012,Permanent,Motor Coach Operator,Transit Operations - MCO,$55464.18,$44324.56,$2932.16,$0.00,$0.00,$0.00,$1990.61,$14908.66,,$12348.35,,$131968.52
2012,Permanent,Transit Facilities Maint Supt,Transit Maintenance - Mgmt,$33363.73,$234.59,$19617.85,$0.00,$0.00,$0.00,$48.00,$8797.64,,$12348.35,,$74410.16
2012,Permanent,Civil Engineer,Water Resources-Water,$125084.20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$32827.91,,$12348.35,,$170260.46
2012,Permanent,Sr Revenue Collections Asst,Business & Revenue Operations,$59164.67,$0.00,$2693.35,$111.25,$0.00,$0.00,$622.02,$15556.69,$600.08,$12348.35,,$91096.41
2012,Permanent,Library Assistant II,Reference Services,$54969.31,$398.20,$1999.39,$360.00,$1200.00,$0.00,$592.66,$14833.89,$475.81,$12348.35,,$87177.61
2012,Permanent,Park Ranger,Police - Operations,$55610.72,$6122.05,$2742.60,$1380.00,$0.00,$0.00,$1190.83,$15114.84,,$12348.35,,$94509.38
2012,Permanent,Farmers' Market Supervisor,Farmers Market,$89070.49,$587.33,$6082.06,$0.00,$0.00,$0.00,$50.00,$23376.30,,$12348.35,,$131514.53
2012,Permanent,Custodian I,Custodial Services,$46207.33,$32.87,$0.00,$0.00,$0.00,$0.00,$1078.99,$12284.51,$419.90,$12348.35,,$72371.95
2012,Permanent,Motor Coach Cleaner,Transit Maintenance - Cleaners,$49989.30,$4642.41,$2228.34,$1959.38,$0.00,$0.00,$843.98,$13700.43,$600.08,$12348.35,,$86312.26
2012,Permanent,Police Lieutenant,Police - Operations,$131274.47,$0.00,$5976.00,$50381.43,$0.00,$0.00,$8542.16,$90289.30,,$12348.35,,$298811.71
2012,Permanent,Water Prod & Treatment Admin,Water Resources-Water,$134306.31,$0.00,$9434.15,$0.00,$0.00,$0.00,$197.64,$35300.11,,$12348.35,,$191586.56
2012,Permanent,Associate Planner,City Planning/Developmt Review,$98898.47,$0.00,$5069.35,$0.00,$0.00,$0.00,$94.00,$25955.56,$0.00,$1123.02,$1800.00,$132940.40
2012,Permanent,Police Sergeant,Police Administrative Services,$125661.91,$28670.20,$4873.44,$34956.25,$0.00,$0.00,$13447.24,$77392.56,,$12348.35,,$297349.95
2012,Permanent,Web Developer,Web Development,$110323.80,$0.00,$7958.95,$0.00,$0.00,$0.00,$0.00,$28954.10,$0.00,$1123.02,$1800.00,$150159.86
2012,Permanent,Revenue Operations Asst II,Business & Revenue Operations,$59164.66,$953.63,$2917.80,$0.00,$0.00,$0.00,$1071.24,$15527.60,$600.08,$12348.35,,$92583.36
2012,Permanent,Police Officer,Police - Operations,$90940.67,$0.00,$0.00,$20104.30,$0.00,$0.00,$6212.54,$56109.21,,$12348.35,,$185715.06
2012,Permanent,Disbursements Supervisor,Financial Operations,$114300.07,$0.00,$8028.72,$0.00,$0.00,$0.00,$50.00,$29997.65,,$12348.35,,$164724.79
2012,Permanent,Energy & Green Bldgs Pgm Admin,Office of Sustain/ Environment,$116473.83,$0.00,$5583.36,$0.00,$0.00,$0.00,$0.00,$30568.15,,$12348.35,,$164973.69
2012,Permanent,Communications Oper-Police,Police - Operations,$68484.01,$21088.08,$3377.40,$3750.46,$1200.00,$0.00,$1555.85,$19220.29,,$12348.35,,$131024.44
2012,Permanent,Network Engineer,Systems & Networks,$113922.45,$0.00,$8002.25,$0.00,$0.00,$0.00,$0.00,$29898.55,,$12348.35,,$164171.60
2012,Permanent,Deputy City Attorney III,City Attorney,$210184.63,$0.00,$15155.59,$10536.37,$0.00,$0.00,$21776.40,$63617.69,,$12348.35,,$333619.03
2012,Permanent,Street Services Worker II,Street Maintenance,$62212.73,$884.16,$3098.40,$45.00,$0.00,$0.00,$921.46,$16418.52,$600.08,$12348.35,,$96528.69
2012,Permanent,Custodian I,Custodial Services,$55113.26,$127.40,$2718.00,$358.50,$0.00,$0.00,$587.80,$14558.45,$600.08,$12348.35,,$86411.84
2012,Permanent,Lead Water Chemist,Water Resources-Water,$105149.94,$0.00,$7385.77,$0.00,$0.00,$0.00,$197.64,$27648.12,,$12348.35,,$152729.82
2012,Permanent,Deputy City Attorney III,City Attorney,$195.85,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$51.57,,,,$247.42
2012,Permanent,Environmental Compliance Spec,Fire Prevention,$80955.76,$460.66,$3685.29,$0.00,$0.00,$0.00,$1259.62,$21338.31,$600.08,$12348.35,,$120648.07
2012,Permanent,Legal Assistant,City Attorney,$87362.75,$668.74,$6095.81,$0.00,$0.00,$0.00,$7291.97,$24583.32,,$12348.35,,$138350.94
2012,Permanent,Underground Utilities Locator,Water Resources-Water,$68567.96,$0.00,$3381.60,$0.00,$0.00,$0.00,$970.03,$18047.36,$600.08,$12348.35,,$103915.38
2012,Permanent,Community Svs Pgm Supv-Cmty Sp,Community Recreation-Sports,$72535.36,$0.00,$0.00,$218.00,$0.00,$0.00,$50.00,$19093.87,,$12348.35,,$104245.58
2012,Permanent,Youth Services Counselor,Criminal Investigations,$90844.62,$2039.02,$4480.20,$10.00,$0.00,$0.00,$955.85,$23844.53,$600.08,$12348.35,,$135122.65
2012,Permanent,Sr Admin Analyst-Water Resourc,Water Resources-Water,$112630.26,$0.00,$2818.20,$0.00,$0.00,$0.00,$50.00,$29560.94,,$12348.35,,$157407.75
2012,Permanent,Fire Captain - Suppression,Fire Suppression & Rescue,$127931.34,$64206.76,$3086.70,$36275.54,$6062.04,$7056.22,$1259.96,$61843.55,,$12348.35,,$320070.45
2012,Permanent,Custodian I,Custodial Services,$46207.34,$846.75,$2278.80,$1741.25,$0.00,$0.00,$1121.51,$12741.55,$600.08,$12348.35,,$77885.63
2012,Permanent,Safety Officer,Risk Management,$110107.90,$0.00,$7525.11,$0.00,$0.00,$0.00,$61.00,$28897.43,,$12348.35,,$158939.79
2012,Permanent,Rent Control Administrator,Rent Control - Administration,$193270.23,$0.00,$10414.71,$3000.00,$0.00,$0.00,$0.00,$51513.36,,$12348.35,,$270546.65
2012,Permanent,Pr Planner,City Planning/Developmt Review,$134719.39,$0.00,$9207.42,$0.00,$600.00,$0.00,$0.00,$35514.16,,$12348.35,,$192389.32
2012,Permanent,Fiscal Staff Asst II,Financial Operations,$59164.65,$173.39,$2917.80,$0.00,$0.00,$0.00,$627.20,$15527.60,$600.08,$12348.35,,$91359.06
2012,Permanent,Groundskeeper,Park Maintenance,$52206.50,$2489.27,$2525.09,$0.00,$0.00,$0.00,$1338.54,$13858.98,$600.08,$12348.35,,$85366.80
2012,Permanent,Community Recreation Mgr,Community Recreation-Admin,$141768.94,$0.00,$3881.46,$0.00,$0.00,$0.00,$2747.76,$37922.90,,$12348.35,,$198669.41
2012,Permanent,Police Officer,Police Administrative Services,$90940.57,$29681.69,$4140.00,$27414.78,$0.00,$100.00,$6212.54,$56109.16,,$12348.35,,$226947.09
2012,Permanent,Admin Staff Assistant,Water Resources-Water,$66757.88,$0.00,$3038.95,$0.00,$0.00,$0.00,$758.55,$17520.42,$600.08,$12348.35,,$101024.23
2012,Permanent,Sr Admin Analyst-Community Use,Community Events,$104907.00,$0.00,$7297.82,$0.00,$0.00,$0.00,$0.00,$27531.49,,$12348.35,,$152084.65
2012,Permanent,Custodian I,Custodial Services,$46207.35,$262.94,$10203.25,$1538.25,$0.00,$0.00,$1192.90,$12688.27,$600.08,$12348.35,,$85041.39
2012,Permanent,Water Maintenance Worker,Water Resources-Water,$58907.04,$172.63,$0.00,$0.00,$0.00,$0.00,$790.74,$15511.88,$600.08,$12348.35,,$88330.72
2012,Permanent,Librarian I,Public and Branch Services,$12189.48,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2350.81,,,,$14540.29
2012,Permanent,Resource Rec & Recyc Equip Op,Resource Recovery & Recycling,$57864.09,$3283.60,$219.51,$0.00,$0.00,$0.00,$2755.39,$15703.70,$600.08,$12348.35,,$92774.72
