HydrantID,ValveID,Valve Angle,Longitude,Latitude,Location 1
1801,1-127,269,-118.50408317,34.02577087,"(34.02577087, -118.50408317)"
1802,24-106A,350,-118.45509501,34.01944848,"(34.01944848, -118.45509501)"
1803,24-110,355,-118.45478749,34.0192997,"(34.01929970, -118.45478749)"
1184,20-19A,158,-118.49224717,34.04846233,"(34.04846233, -118.49224717)"
246,7-78,86,-118.48538724,34.01610187,"(34.01610187, -118.48538724)"
203,6-21A,162,-118.47074067,34.00257535,"(34.00257535, -118.47074067)"
544,3-120A,270,-118.49295638,34.01441602,"(34.01441602, -118.49295638)"
245,7-75,93,-118.48618582,34.01680804,"(34.01680804, -118.48618582)"
1805,14-212A,356,-118.47308901,34.01442114,"(34.01442114, -118.47308901)"
1804,17-122B,270,-118.46814694,34.02599713,"(34.02599713, -118.46814694)"
1662,17-122A,180,-118.46757472,34.02573685,"(34.02573685, -118.46757472)"
1590,24-70,261,-118.45531401,34.02494964,"(34.02494964, -118.45531401)"
27,4-216,354,-118.48657144,34.00384563,"(34.00384563, -118.48657144)"
1911,23-171,330,-118.46143941,34.02978207,"(34.02978207, -118.46143941)"
1912,23-172,329,-118.46189607,34.02969605,"(34.02969605, -118.46189607)"
1913,23-173,328,-118.4631078,34.02944388,"(34.02944388, -118.46310780)"
1914,23-174,332,-118.46391512,34.02926899,"(34.02926899, -118.46391512)"
240,8-104,180,-118.48813069,34.01703843,"(34.01703843, -118.48813069)"
1398,4-48,264,-118.48641957,34.00869575,"(34.00869575, -118.48641957)"
1389,4-112,263,-118.483538,34.0058635,"(34.00586350, -118.48353800)"
1390,4-115,266,-118.48260475,34.00493015,"(34.00493015, -118.48260475)"
1388,4-109,264,-118.48441226,34.00671532,"(34.00671532, -118.48441226)"
1436,5-115,262,-118.48170015,34.00403051,"(34.00403051, -118.48170015)"
1415,5-124,264,-118.48026449,34.00266738,"(34.00266738, -118.48026449)"
1416,5-126,266,-118.47947744,34.0018754,"(34.00187540, -118.47947744)"
1420,5-127,6,-118.47855217,34.00122991,"(34.00122991, -118.47855217)"
1421,5-132,86,-118.47809667,34.00052481,"(34.00052481, -118.47809667)"
550,6-143,258,-118.46698679,34.00476765,"(34.00476765, -118.46698679)"
551,6-142A,171,-118.46764083,34.00436142,"(34.00436142, -118.46764083)"
1915,6-219,259,-118.46669677,34.00439438,"(34.00439438, -118.46669677)"
1634,24-93,258,-118.45741936,34.02401096,"(34.02401096, -118.45741936)"
1624,24-100,259,-118.454079,34.02003898,"(34.02003898, -118.45407900)"
1635,24-99,262,-118.45507865,34.02122153,"(34.02122153, -118.45507865)"
1621,24-87,260,-118.45310753,34.02058343,"(34.02058343, -118.45310753)"
493,7-194,86,-118.47459962,34.01485906,"(34.01485906, -118.47459962)"
492,7-200,84,-118.47373619,34.01400977,"(34.01400977, -118.47373619)"
1851,7-134A,268,-118.47844373,34.01704755,"(34.01704755, -118.47844373)"
1230,1-11,280,-118.51271338,34.02451919,"(34.02451919, -118.51271338)"
128,4-183,96,-118.48591674,34.00437495,"(34.00437495, -118.48591674)"
1041,21-61,181,-118.47410176,34.04242797,"(34.04242797, -118.47410176)"
1734,16-145,256,-118.46264097,34.01960437,"(34.01960437, -118.46264097)"
523,6-205,84,-118.46948385,34.00983996,"(34.00983996, -118.46948385)"
1403,4-57,360,-118.48251825,34.01017603,"(34.01017603, -118.48251825)"
992,23-70,238,-118.46036239,34.02890007,"(34.02890007, -118.46036239)"
1916,2-117A,270,-118.49493569,34.02169881,"(34.02169881, -118.49493569)"
1917,14-5C,98,-118.47388876,34.02637354,"(34.02637354, -118.47388876)"
1556,20-72,270,-118.49331368,34.04531997,"(34.04531997, -118.49331368)"
1338,3-93,80,-118.49466629,34.0144015,"(34.01440150, -118.49466629)"
1675,3-16,170,-118.49698756,34.00984098,"(34.00984098, -118.49698756)"
97,4-191,-90,-118.49094039,34.01032771,"(34.01032771, -118.49094039)"
1318,3-4,268,-118.4990688,34.01380552,"(34.01380552, -118.49906880)"
1706,10-151A,179,-118.49913694,34.02910427,"(34.02910427, -118.49913694)"
429,12-78,0,-118.48838767,34.02972336,"(34.02972336, -118.48838767)"
720,15-83A,79,-118.46076412,34.01103724,"(34.01103724, -118.46076412)"
637,13-71,0,-118.48098415,34.02776339,"(34.02776339, -118.48098415)"
1378,4-106,265,-118.48566223,34.00793299,"(34.00793299, -118.48566223)"
1810,13-143,266,-118.4851878,34.00747285,"(34.00747285, -118.48518780)"
227,8-30,360,-118.49234822,34.01858577,"(34.01858577, -118.49234822)"
226,4-6A,169,-118.48905964,34.0134187,"(34.01341870, -118.48905964)"
1669,3-138,269,-118.49754942,34.01835125,"(34.01835125, -118.49754942)"
383,11-25A,182,-118.50304011,34.04067905,"(34.04067905, -118.50304011)"
228,4-5,182,-118.48837389,34.0137775,"(34.01377750, -118.48837389)"
73,3-105,90,-118.49845066,34.01763523,"(34.01763523, -118.49845066)"
889,21-89,314,-118.4810071,34.04548162,"(34.04548162, -118.48100710)"
1222,22-1,180,-118.46943532,34.03994953,"(34.03994953, -118.46943532)"
1520,17-70,97,-118.46466738,34.02805795,"(34.02805795, -118.46466738)"
1546,20-56,346,-118.49308251,34.04780365,"(34.04780365, -118.49308251)"
1727,17-147B,90,-118.47042823,34.02627677,"(34.02627677, -118.47042823)"
1607,24-136,169,-118.44900532,34.0210476,"(34.02104760, -118.44900532)"
1606,24-138,260,-118.44958113,34.02171154,"(34.02171154, -118.44958113)"
1597,24-45,259,-118.45115703,34.02365833,"(34.02365833, -118.45115703)"
1765,16-146,260,-118.46147251,34.02004096,"(34.02004096, -118.46147251)"
1589,24-50,260,-118.45007738,34.02237847,"(34.02237847, -118.45007738)"
329,6-126,349,-118.46958213,34.00398698,"(34.00398698, -118.46958213)"
1478,5-82,266,-118.48336676,34.00285108,"(34.00285108, -118.48336676)"
1449,5-41,267,-118.48243833,33.99975272,"(33.99975272, -118.48243833)"
1549,20-58,271,-118.4913316,34.04776068,"(34.04776068, -118.49133160)"
99,4-149,249,-118.49073837,34.01162782,"(34.01162782, -118.49073837)"
1586,24-52,351,-118.45049505,34.02180956,"(34.02180956, -118.45049505)"
847,14-5,89,-118.47466529,34.02570159,"(34.02570159, -118.47466529)"
1157,4-293,0,-118.49488063,34.00953854,"(34.00953854, -118.49488063)"
1174,15-16,244,-118.46662257,34.00911727,"(34.00911727, -118.46662257)"
PM3,,90,-118.46655036,34.02987687,"(34.02987687, -118.46655036)"
PM2,,90,-118.46756294,34.02965496,"(34.02965496, -118.46756294)"
PM1,,90,-118.46878902,34.02938624,"(34.02938624, -118.46878902)"
1784,17-140,59,-118.46590656,34.02789728,"(34.02789728, -118.46590656)"
1709,14-6C,90,-118.47539328,34.02485137,"(34.02485137, -118.47539328)"
1710,14-6,90,-118.47604854,34.02541667,"(34.02541667, -118.47604854)"
1728,17-157,160,-118.4727145,34.02711773,"(34.02711773, -118.47271450)"
660,14-19A,270,-118.47882326,34.02278113,"(34.02278113, -118.47882326)"
1209,14-19,90,-118.47795503,34.02209659,"(34.02209659, -118.47795503)"
842,18-164,90,-118.47456069,34.0292128,"(34.02921280, -118.47456069)"
853,17-54,0,-118.46544038,34.02275362,"(34.02275362, -118.46544038)"
1729,18-177A,227,-118.46993982,34.02852166,"(34.02852166, -118.46993982)"
1457,5-57,356,-118.4794713,33.99810961,"(33.99810961, -118.47947130)"
1501,16-75D,360,-118.45504492,34.01567012,"(34.01567012, -118.45504492)"
1747,16-74,228,-118.4540468,34.01677699,"(34.01677699, -118.45404680)"
1500,16-75C,181,-118.45445855,34.01624973,"(34.01624973, -118.45445855)"
1363,3-25,150,-118.49540355,34.0098909,"(34.00989090, -118.49540355)"
1676,3-13,360,-118.49665997,34.0100259,"(34.01002590, -118.49665997)"
1373,3-20A,360,-118.49952789,34.00744728,"(34.00744728, -118.49952789)"
1368,3-19A,181,-118.49986394,34.00772378,"(34.00772378, -118.49986394)"
1367,3-20,269,-118.49988531,34.00741383,"(34.00741383, -118.49988531)"
1364,3-22A,360,-118.49692856,34.00867948,"(34.00867948, -118.49692856)"
1366,3-17A,180,-118.49772209,34.00918095,"(34.00918095, -118.49772209)"
1674,3-17B,180,-118.49845609,34.00858402,"(34.00858402, -118.49845609)"
1369,3-21A,0,-118.49765251,34.00810283,"(34.00810283, -118.49765251)"
1370,3-21,270,-118.49823176,34.00815788,"(34.00815788, -118.49823176)"
1371,3-17,180,-118.49730661,34.00951948,"(34.00951948, -118.49730661)"
1372,3-19,180,-118.49911841,34.00805235,"(34.00805235, -118.49911841)"
1402,4-38,82,-118.48362092,34.01128891,"(34.01128891, -118.48362092)"
100,4-8,87,-118.49017314,34.01384502,"(34.01384502, -118.49017314)"
